expected_run,source_phone_path,destination_path,filename,file_type,byte_size,modification_time_source,embedded_start_time,embedded_end_time,timezone,target_hostname,run_id,completion_marker,source_sha256,copied_sha256,hash_match,included_excluded,exclusion_reason,notes
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,report_20260731_100005.json,json,419970,2026-07-31 10:15:55.716274196 +0530,2026-07-31T10:00:05+05:30(name),2026-07-31T10:15:55+05:30,+05:30,ambimat.com,site_monitor_20260731_1000,generated_at present; JSON parses; totals.partial=false,499b043ab20570a5856c74ab5ce81a6d1102a98b582490c7f2d4b76b1786eb00,499b043ab20570a5856c74ab5ce81a6d1102a98b582490c7f2d4b76b1786eb00,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.md,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.md,report_20260731_100005.md,md,39032,2026-07-31 10:15:55.716274196 +0530,2026-07-31T10:00:05+05:30(name),2026-07-31T10:15:55+05:30,+05:30,ambimat.com,site_monitor_20260731_1000,rendered from the same report object,d66ee19283f7a38d11e843b79824d5e57ddbc3579c29bd67df5ca4f1264b1422,d66ee19283f7a38d11e843b79824d5e57ddbc3579c29bd67df5ca4f1264b1422,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambimat_com/report_latest.json,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_latest.json,report_latest.json,json,419970,2026-07-31 10:15:55.749607533 +0530,,,,,,,499b043ab20570a5856c74ab5ce81a6d1102a98b582490c7f2d4b76b1786eb00,499b043ab20570a5856c74ab5ce81a6d1102a98b582490c7f2d4b76b1786eb00,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambimat_com/report_latest.md,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_latest.md,report_latest.md,md,39032,2026-07-31 10:15:55.752940867 +0530,,,,,,,d66ee19283f7a38d11e843b79824d5e57ddbc3579c29bd67df5ca4f1264b1422,d66ee19283f7a38d11e843b79824d5e57ddbc3579c29bd67df5ca4f1264b1422,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambimat_com/report_latest.html,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_latest.html,report_latest.html,html,32260,2026-07-31 10:15:55.752940867 +0530,,,,,,,4d0821c56e36c56eb31df0b4353541a1523aa998097fe0c4e7e5516b14b5b8d3,4d0821c56e36c56eb31df0b4353541a1523aa998097fe0c4e7e5516b14b5b8d3,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/report_20260731_102502.json,raw/site_monitor/site_monitor_reports/report_20260731_102502.json,report_20260731_102502.json,json,760842,2026-07-31 10:25:02.472995330 +0530,2026-07-31T10:00:02+05:30,2026-07-31T10:25:02+05:30,+05:30,"multi-site (7, incl. ambimat.com)",site_monitor_20260731_1000,generated_at present; JSON parses; totals.partial=false,fcf79ec7e69dc6cc2d2e47369b7f2f607bcb6508107aac40e4dc3d996b438fe0,fcf79ec7e69dc6cc2d2e47369b7f2f607bcb6508107aac40e4dc3d996b438fe0,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/report_20260731_102502.md,raw/site_monitor/site_monitor_reports/report_20260731_102502.md,report_20260731_102502.md,md,80552,2026-07-31 10:25:02.472995330 +0530,2026-07-31T10:00:02+05:30,2026-07-31T10:25:02+05:30,+05:30,"multi-site (7, incl. ambimat.com)",site_monitor_20260731_1000,rendered from the same report object,60689e1153b130ba5f6e0eed40cc59bedf10dcfabbfc5909e34a5055453d6172,60689e1153b130ba5f6e0eed40cc59bedf10dcfabbfc5909e34a5055453d6172,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/report_latest.html,raw/site_monitor/site_monitor_reports/report_latest.html,report_latest.html,html,70588,2026-07-31 10:25:02.539662003 +0530,,,,,,,2d59194aa6c9ccaa81a037a32ade570e3d5676ff9d5e3c364bb552f18eab0528,2d59194aa6c9ccaa81a037a32ade570e3d5676ff9d5e3c364bb552f18eab0528,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/daily_runner.log,raw/site_monitor/site_monitor_reports/daily_runner.log,daily_runner.log,log,314472,2026-07-31 10:25:04.506328866 +0530,,,+05:30,n/a (scheduler/runner log),,log contains explicit start/end markers,ced8aa4e6eacd63d2176e1c1d95c469c99cda17654dafbfd7c28fc64f180b3c0,ced8aa4e6eacd63d2176e1c1d95c469c99cda17654dafbfd7c28fc64f180b3c0,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/cron.log,raw/site_monitor/site_monitor_reports/cron.log,cron.log,log,54462,2026-07-31 10:25:04.556328871 +0530,,,+05:30,n/a (scheduler/runner log),,,cc730a6bab37ba05573882ab50b34f06827cc1315ee2e72c267f4bcb6a886d65,cc730a6bab37ba05573882ab50b34f06827cc1315ee2e72c267f4bcb6a886d65,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/report_20260731_112213.json,raw/seo/seo_tracker_reports/report_20260731_112213.json,report_20260731_112213.json,json,454976,2026-07-31 11:22:13.206670428 +0530,2026-07-31T11:00:0x+05:30,2026-07-31T11:22:13+05:30,+05:30,"multi-domain (7, incl. ambimat.com)",seo_20260731_1100,generated_at + generated_date=2026-07-31; JSON parses,d695a068dafa1393c8d3c95f84ab88b6a81cdfbfa4445c8629b56b68de0e0e43,d695a068dafa1393c8d3c95f84ab88b6a81cdfbfa4445c8629b56b68de0e0e43,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/report_20260731_112213.md,raw/seo/seo_tracker_reports/report_20260731_112213.md,report_20260731_112213.md,md,21515,2026-07-31 11:22:13.210003761 +0530,2026-07-31T11:00:0x+05:30,2026-07-31T11:22:13+05:30,+05:30,"multi-domain (7, incl. ambimat.com)",seo_20260731_1100,rendered from the same report object,d9a10094644c601e6fa3f056959b67896f07086c05238c705c3136697b5f3061,d9a10094644c601e6fa3f056959b67896f07086c05238c705c3136697b5f3061,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/report_latest.json,raw/seo/seo_tracker_reports/report_latest.json,report_latest.json,json,454976,2026-07-31 11:22:13.213337095 +0530,,,,,,,d695a068dafa1393c8d3c95f84ab88b6a81cdfbfa4445c8629b56b68de0e0e43,d695a068dafa1393c8d3c95f84ab88b6a81cdfbfa4445c8629b56b68de0e0e43,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/report_latest.md,raw/seo/seo_tracker_reports/report_latest.md,report_latest.md,md,21515,2026-07-31 11:22:13.223337096 +0530,,,,,,,d9a10094644c601e6fa3f056959b67896f07086c05238c705c3136697b5f3061,d9a10094644c601e6fa3f056959b67896f07086c05238c705c3136697b5f3061,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/report_latest.html,raw/seo/seo_tracker_reports/report_latest.html,report_latest.html,html,24761,2026-07-31 11:22:13.226670430 +0530,,,,,,,6693266176fc6a37484787cf61af5834bb93ed8b4803ec4cd14d638eb2c943b7,6693266176fc6a37484787cf61af5834bb93ed8b4803ec4cd14d638eb2c943b7,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/daily_runner.log,raw/seo/seo_tracker_reports/daily_runner.log,daily_runner.log,log,329530,2026-07-31 11:22:13.653337139 +0530,,,+05:30,n/a (scheduler/runner log),,log contains explicit start/end markers,2b49c637abc2c3803b82c0947f4a03702fe50e2f0de05e03996eeafc1641577e,2b49c637abc2c3803b82c0947f4a03702fe50e2f0de05e03996eeafc1641577e,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/cron.log,raw/seo/seo_tracker_reports/cron.log,cron.log,log,0,2026-07-07 11:00:00.220856725 +0530,,,+05:30,n/a (scheduler/runner log),,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,MATCH,INCLUDED,,
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/history/summary_history.json,raw/seo/seo_tracker_reports/history/summary_history.json,summary_history.json,json,6876,2026-07-31 11:22:13.110003752 +0530,,,,,,,de10e837b03a88b6793faa7d2623beb545d588f868c839738a015b9fd1fb877d,de10e837b03a88b6793faa7d2623beb545d588f868c839738a015b9fd1fb877d,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/scheduler_watchdog.log,raw/scheduler/ambimat_job_logs/scheduler_watchdog.log,scheduler_watchdog.log,log,227901,2026-07-31 17:00:02.605356302 +0530,,,+05:30,n/a (scheduler/runner log),,,3a675436029b8633c19fd661fac8d2d8a3e4d57cf089b43c617b4d489b6ae6b8,3a675436029b8633c19fd661fac8d2d8a3e4d57cf089b43c617b4d489b6ae6b8,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/site_monitor_daily.log,raw/scheduler/ambimat_job_logs/site_monitor_daily.log,site_monitor_daily.log,log,48385,2026-07-31 10:25:04.669662216 +0530,,,+05:30,n/a (scheduler/runner log),,log contains explicit start/end markers,b065c74665b47a47b93e2c1d885115a08924a8fbf1dbf66515c51c2c517ebcf1,b065c74665b47a47b93e2c1d885115a08924a8fbf1dbf66515c51c2c517ebcf1,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/seo_daily.log,raw/scheduler/ambimat_job_logs/seo_daily.log,seo_daily.log,log,1848,2026-07-31 11:22:13.766670484 +0530,,,+05:30,n/a (scheduler/runner log),,log contains explicit start/end markers,3a9e7d148d7681884ba998521aca2bd21daf73b6d96471badae0286a5da5e5bf,3a9e7d148d7681884ba998521aca2bd21daf73b6d96471badae0286a5da5e5bf,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/site_monitor_last_success_date,raw/scheduler/ambimat_job_logs/site_monitor_last_success_date,site_monitor_last_success_date,text,11,2026-07-31 10:25:04.616328877 +0530,,,+05:30,n/a (scheduler/runner log),,,fc11dbb2f6df891437cfa25b9af0b741a2ef3a9f21fc6de1330194fef258b8e7,fc11dbb2f6df891437cfa25b9af0b741a2ef3a9f21fc6de1330194fef258b8e7,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/seo_last_success_date,raw/scheduler/ambimat_job_logs/seo_last_success_date,seo_last_success_date,text,11,2026-07-31 11:22:13.703337144 +0530,,,+05:30,n/a (scheduler/runner log),,,fc11dbb2f6df891437cfa25b9af0b741a2ef3a9f21fc6de1330194fef258b8e7,fc11dbb2f6df891437cfa25b9af0b741a2ef3a9f21fc6de1330194fef258b8e7,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/missed_run.log,raw/scheduler/ambimat_job_logs/missed_run.log,missed_run.log,log,371,2026-07-01 18:57:33.673781122 +0530,,,+05:30,n/a (scheduler/runner log),,,b67602e35d0e9e96b4c799a24ead3ffff405ac855741cd9faedb54830f810783,b67602e35d0e9e96b4c799a24ead3ffff405ac855741cd9faedb54830f810783,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/missed_cron.log,raw/scheduler/ambimat_job_logs/missed_cron.log,missed_cron.log,log,0,2026-07-01 19:00:00.110462577 +0530,,,+05:30,n/a (scheduler/runner log),,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/cron_5min_probe.log,raw/scheduler/ambimat_job_logs/cron_5min_probe.log,cron_5min_probe.log,log,29,2026-07-06 15:07:00.357028019 +0530,,,+05:30,n/a (scheduler/runner log),,,f270b1a1c8fe2746992355d5e622bdb9db039b56bf461ab43ad3552f5b061786,f270b1a1c8fe2746992355d5e622bdb9db039b56bf461ab43ad3552f5b061786,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/ambimat_job_logs/boot_startup.log,raw/scheduler/ambimat_job_logs/boot_startup.log,boot_startup.log,log,2292,2026-07-27 11:49:47.149073697 +0530,,,+05:30,n/a (scheduler/runner log),,,1f8672a3e122dd9c8a238ed82d818cfae8cc678342f86e3704ec193c154231ca,1f8672a3e122dd9c8a238ed82d818cfae8cc678342f86e3704ec193c154231ca,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/site_monitor/config/sites.yaml,raw/scheduler/site_monitor/config/sites.yaml,sites.yaml,yaml,3215,2026-07-27 13:29:33.226336688 +0530,,,,,,,be558bdbddd4d3d02e17afaed4487632fa4529c76cd3bfa7af04d1b8b275b7f8,be558bdbddd4d3d02e17afaed4487632fa4529c76cd3bfa7af04d1b8b275b7f8,MATCH,INCLUDED,,
both (scheduler context),/data/data/com.termux/files/home/seo_tracker/phone/config.yaml,raw/scheduler/seo_tracker/phone/config.yaml,config.yaml,yaml,3920,2026-07-27 13:38:15.739722073 +0530,,,,,,,71e9b86ce3a0f79ccd1bd2ca3348d9257150f979ec25c2f038687c85fd3edb34,71e9b86ce3a0f79ccd1bd2ca3348d9257150f979ec25c2f038687c85fd3edb34,MATCH,INCLUDED,,
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambisecure_ambimat_com/report_latest.json,,report_latest.json,json,,,,,,ambisecure.ambimat.com,,,,,,EXCLUDED,"primary target is another host, not ambimat.com",observed during read-only discovery; left untouched on the phone
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambiautomation_ambimat_com/report_latest.json,,report_latest.json,json,,,,,,ambiautomation.ambimat.com,,,,,,EXCLUDED,"primary target is another host, not ambimat.com",observed during read-only discovery; left untouched on the phone
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/esim_ambimat_com/report_latest.json,,report_latest.json,json,,,,,,esim.ambimat.com,,,,,,EXCLUDED,"primary target is another host, not ambimat.com",observed during read-only discovery; left untouched on the phone
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambipower_ambimat_com/report_latest.json,,report_latest.json,json,,,,,,ambipower.ambimat.com,,,,,,EXCLUDED,"primary target is another host, not ambimat.com",observed during read-only discovery; left untouched on the phone
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/orders_ambimat_com/report_latest.json,,report_latest.json,json,,,,,,orders.ambimat.com,,,,,,EXCLUDED,"primary target is another host, not ambimat.com",observed during read-only discovery; left untouched on the phone
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/roboracer_ambimat_com/report_latest.json,,report_latest.json,json,,,,,,roboracer.ambimat.com,,,,,,EXCLUDED,"primary target is another host, not ambimat.com",observed during read-only discovery; left untouched on the phone
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/per_site/ambimat_com/report_20260730_100004.json,,report_20260730_100004.json,json,,,,,,ambimat.com,,,,,,EXCLUDED,prior-day run (2026-07-30) — not today's evidence,observed during read-only discovery; left untouched on the phone
11:00 IST SEO,/data/data/com.termux/files/home/seo_tracker_reports/report_20260730_112204.json,,report_20260730_112204.json,json,,,,,,ambimat.com,,,,,,EXCLUDED,prior-day run (2026-07-30) — not today's evidence,observed during read-only discovery; left untouched on the phone
10:00 IST live-page/site-monitor,/data/data/com.termux/files/home/site_monitor_reports/report_20260730_102443.json,,report_20260730_102443.json,json,,,,,,multi-site,,,,,,EXCLUDED,prior-day run (2026-07-30) — not today's evidence,observed during read-only discovery; left untouched on the phone
