checked_url,check_category,severity,reported_value,expected_value,original_finding,source_report,normalized_interpretation,confidence,notes
https://ambimat.com/ (site-level),seo_run_metric,info,437,,pages_crawled=437,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,845,,keywords_tracked=845,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,41.1,,ai_readiness_average=41.1,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,0,,ai_readiness_above_70=0,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,209,,ai_readiness_below_40=209,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,1,,technical_noindex=1,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,0,,technical_redirect_chains=0,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,2,,technical_canonical_off=2,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,1,,technical_slow_pages=1,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,700,,technical_avg_response_ms=700,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,127,,metadata_og_incomplete=127,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,0,,metadata_twitter_missing=0,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,327,,metadata_heading_issues=327,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,1.0,,metadata_alt_coverage=1.0,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,1.0,,schema_coverage=1.0,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,6,,schema_faq_pages=6,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,92.4,,content_quality_average=92.4,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,30,,weak_pages_high=30,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,656,,weak_pages_medium=656,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,408,,weak_pages_low=408,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,12,,orphan_pages=12,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/ (site-level),seo_run_metric,info,98,,internal_link_recommendations=98,raw/seo/seo_tracker_reports/report_20260731_112213.json,aggregate reported by the 11:00 run,high (as-reported),
https://ambimat.com/category/general/,audit/technical,high,Page is noindex,,"{""category"": ""technical"", ""issue"": ""Page is noindex"", ""severity"": ""high"", ""url"": ""https://ambimat.com/category/general/""}",raw/seo/seo_tracker_reports/report_20260731_112213.json,audit finding as reported; not re-verified against the live site,medium (as-reported),
https://ambimat.com/holistic-iot-security-architecture-for-smart%e2%80%91city-street%e2%80%91light-controllers/,audit/technical,medium,Canonical points elsewhere,,"{""category"": ""technical"", ""issue"": ""Canonical points elsewhere"", ""severity"": ""medium"", ""url"": ""https://ambimat.com/holistic-iot-security-architecture-for-smart%e2%80%91city-street%e2%80%91light-controllers/""}",raw/seo/seo_tracker_reports/report_20260731_112213.json,audit finding as reported; not re-verified against the live site,medium (as-reported),
https://ambimat.com/holistic-iot-security-architecture-for-smart%e2%80%91city-street%e2%80%91light-controllers/,audit/technical,medium,Canonical points elsewhere,,"{""category"": ""technical"", ""issue"": ""Canonical points elsewhere"", ""severity"": ""medium"", ""url"": ""https://ambimat.com/holistic-iot-security-architecture-for-smart%e2%80%91city-street%e2%80%91light-controllers/""}",raw/seo/seo_tracker_reports/report_20260731_112213.json,audit finding as reported; not re-verified against the live site,medium (as-reported),
https://ambimat.com/public-transport-ticketing-system-part-1/,audit/metadata,medium,Duplicate title across 3 pages,,"{""category"": ""metadata"", ""issue"": ""Duplicate title across 3 pages"", ""severity"": ""medium"", ""url"": ""https://ambimat.com/public-transport-ticketing-system-part-1/""}",raw/seo/seo_tracker_reports/report_20260731_112213.json,audit finding as reported; not re-verified against the live site,medium (as-reported),
https://ambimat.com/mindbody-mobile-credit-card-swiper-unimag-ii-ios/,audit/metadata,medium,Duplicate title across 2 pages,,"{""category"": ""metadata"", ""issue"": ""Duplicate title across 2 pages"", ""severity"": ""medium"", ""url"": ""https://ambimat.com/mindbody-mobile-credit-card-swiper-unimag-ii-ios/""}",raw/seo/seo_tracker_reports/report_20260731_112213.json,audit finding as reported; not re-verified against the live site,medium (as-reported),
